Symbol,SubPhase,source,Phase,alternative
Acd,G1/S,Macosko,S,
Acyp1,G1/S,Macosko,S,
Adamts1,G1/S,Macosko,S,
Ankrd10,G1/S,Macosko,S,
Apex2,G1/S,Macosko,S,
Arglu1,G1/S,Macosko,S,
Atad2,G1/S,Macosko,S,
Bard1,G1/S,Macosko,S,
Brd7,G1/S,Macosko,S,
Rsrp1,G1/S,Macosko,S,C1orf63
Mturn,G1/S,Macosko,S,C7orf41
C14orf142,G1/S,Macosko,S,
Capn7,G1/S,Macosko,S,
Casp2,G1/S,Macosko,S,
Casp8ap2,G1/S,Macosko,S,
Ccne1,G1/S,Macosko,S,
Ccne2,G1/S,Macosko,S,
Cdc6,G1/S,Macosko,S,
Cdc25a,G1/S,Macosko,S,
Cdca7,G1/S,Macosko,S,
Cdca7l,G1/S,Macosko,S,
Cep57,G1/S,Macosko,S,
Chaf1a,G1/S,Macosko,S,
Chaf1b,G1/S,Macosko,S,
Clspn,G1/S,Macosko,S,
Crebzf,G1/S,Macosko,S,
Ctsd,G1/S,Macosko,S,
Dis3,G1/S,Macosko,S,
Dnajc3,G1/S,Macosko,S,
Donson,G1/S,Macosko,S,
Dscc1,G1/S,Macosko,S,
Dtl,G1/S,Macosko,S,
E2f1,G1/S,Macosko,S,
Eif2a,G1/S,Macosko,S,
Esd,G1/S,Macosko,S,
Otulin,G1/S,Macosko,S,Fam105b
Fam122a,G1/S,Macosko,S,
Flad1,G1/S,Macosko,S,
Gins2,G1/S,Macosko,S,
Gins3,G1/S,Macosko,S,
Gmnn,G1/S,Macosko,S,
Hells,G1/S,Macosko,S,
Hoxb4,G1/S,Macosko,S,
Hras,G1/S,Macosko,S,
Hsf2,G1/S,Macosko,S,
Insr,G1/S,Macosko,S,
Ints8,G1/S,Macosko,S,
Ivns1abp,G1/S,Macosko,S,
E330009J07Rik,G1/S,Macosko,S,Kiaa1147
Kiaa1586,G1/S,Macosko,S,NA
Lnpep,G1/S,Macosko,S,
Luc7l3,G1/S,Macosko,S,
Mcm2,G1/S,Macosko,S,
Mcm5,G1/S,Macosko,S,
Mcm6,G1/S,Macosko,S,
Mdm1,G1/S,Macosko,S,
Med31,G1/S,Macosko,S,
Mri1,G1/S,Macosko,S,
Msh2,G1/S,Macosko,S,
Nasp,G1/S,Macosko,S,
Neat1,G1/S,Macosko,S,
Nktr,G1/S,Macosko,S,
Npat,G1/S,Macosko,S,
Nup43,G1/S,Macosko,S,
Orc1,G1/S,Macosko,S,
Osbpl6,G1/S,Macosko,S,
Pank2,G1/S,Macosko,S,
Pcdh7,G1/S,Macosko,S,
Pcna,G1/S,Macosko,S,
Plcxd1,G1/S,Macosko,S,
Pms1,G1/S,Macosko,S,
Pnn,G1/S,Macosko,S,
Pold3,G1/S,Macosko,S,
Rab23,G1/S,Macosko,S,
Recql4,G1/S,Macosko,S,
Rmi2,G1/S,Macosko,S,
Rnf113a1,G1/S,Macosko,S,Rnf113a
Rnpc3,G1/S,Macosko,S,
Sec62,G1/S,Macosko,S,
Skp2,G1/S,Macosko,S,
Slbp,G1/S,Macosko,S,
Slc25a36,G1/S,Macosko,S,
Snhg10,G1/S,Macosko,S,NA
Srsf7,G1/S,Macosko,S,
Ssr3,G1/S,Macosko,S,
Taf15,G1/S,Macosko,S,
Tipin,G1/S,Macosko,S,
Topbp1,G1/S,Macosko,S,
Tra2a,G1/S,Macosko,S,
Ttc14,G1/S,Macosko,S,
Ubr7,G1/S,Macosko,S,
Uhrf1,G1/S,Macosko,S,
Ung,G1/S,Macosko,S,
Usp53,G1/S,Macosko,S,
Vps72,G1/S,Macosko,S,
Wdr76,G1/S,Macosko,S,
Zmynd19,G1/S,Macosko,S,
Zfp367,G1/S,Macosko,S,Znf367
Zranb2,G1/S,Macosko,S,
Abcc5,S,Macosko,S,
Abhd10,S,Macosko,S,
Ankrd18a,S,Macosko,S,NA
Asf1b,S,Macosko,S,
Bbs2,S,Macosko,S,
Bivm,S,Macosko,S,
Blm,S,Macosko,S,
Bmi1,S,Macosko,S,
Brca1,S,Macosko,S,
Brip1,S,Macosko,S,
Cplane1,S,Macosko,S,C5orf42
C11orf82,S,Macosko,S,NA
Cald1,S,Macosko,S,
Calm2,S,Macosko,S,
Ccdc14,S,Macosko,S,
Ccdc84,S,Macosko,S,
Ccdc150,S,Macosko,S,
Cdc7,S,Macosko,S,
Cdc45,S,Macosko,S,
Cdca5,S,Macosko,S,
Cdkn2aip,S,Macosko,S,
Cenpm,S,Macosko,S,
Cenpq,S,Macosko,S,
Cers6,S,Macosko,S,
Chml,S,Macosko,S,
Coq9,S,Macosko,S,
Cpne8,S,Macosko,S,
Crls1,S,Macosko,S,
Dcaf16,S,Macosko,S,NA
Depdc7,S,Macosko,S,
Dhfr,S,Macosko,S,
Dna2,S,Macosko,S,
Dnajb4,S,Macosko,S,
Dync1li2,S,Macosko,S,
E2f8,S,Macosko,S,
Eif4ebp2,S,Macosko,S,
Enosf1,S,Macosko,S,NA
Esco2,S,Macosko,S,
Exo1,S,Macosko,S,
Ezh2,S,Macosko,S,
Fam178a,S,Macosko,S,
Fanca,S,Macosko,S,
Fanci,S,Macosko,S,
Fen1,S,Macosko,S,
Gclm,S,Macosko,S,
Golga8a,S,Macosko,S,NA
Golga8b,S,Macosko,S,NA
H1f0,S,Macosko,S,
Hist1h2ac,S,Macosko,S,
Hist1h4c,S,Macosko,S,
Ints7,S,Macosko,S,
Kat2a,S,Macosko,S,
Kat2b,S,Macosko,S,
Kdelc1,S,Macosko,S,
Shtn1,S,Macosko,S,Kiaa1598
Lmo4,S,Macosko,S,
Lyrm7,S,Macosko,S,
Man1a2,S,Macosko,S,
Map3k2,S,Macosko,S,
Mastl,S,Macosko,S,
Mbd4,S,Macosko,S,
Mcm8,S,Macosko,S,
Cenpu,S,Macosko,S,Mlf1ip
Mycbp2,S,Macosko,S,
Nab1,S,Macosko,S,
Nfe2l2,S,Macosko,S,
Nrd1,S,Macosko,S,
Nsun3,S,Macosko,S,
Nt5dc1,S,Macosko,S,
Nup160,S,Macosko,S,
Ogt,S,Macosko,S,
Orc3,S,Macosko,S,
Osgin2,S,Macosko,S,
Phip,S,Macosko,S,
Phtf1,S,Macosko,S,
Phtf2,S,Macosko,S,
Pkmyt1,S,Macosko,S,
Pola1,S,Macosko,S,
Prim1,S,Macosko,S,
Ptar1,S,Macosko,S,
Rad18,S,Macosko,S,
Rad51,S,Macosko,S,
Rad51ap1,S,Macosko,S,
Rbbp8,S,Macosko,S,
Reep1,S,Macosko,S,
Rfc2,S,Macosko,S,
Rhobtb3,S,Macosko,S,
Rmi1,S,Macosko,S,
Rpa2,S,Macosko,S,
Rrm1,S,Macosko,S,
Rrm2,S,Macosko,S,
Rsrc2,S,Macosko,S,
Sap30bp,S,Macosko,S,
Slc38a2,S,Macosko,S,
Sp1,S,Macosko,S,
Srsf5,S,Macosko,S,
Svip,S,Macosko,S,
Ttc31,S,Macosko,S,NA
Ttll7,S,Macosko,S,
Tyms,S,Macosko,S,
Ube2t,S,Macosko,S,
Ubl3,S,Macosko,S,
Usp1,S,Macosko,S,
Zbed5,S,Macosko,S,
Zwint,S,Macosko,S,
Anln,G2/M,Macosko,M,
Ap3d1,G2/M,Macosko,M,
Arhgap19,G2/M,Macosko,M,
Arl4a,G2/M,Macosko,M,
Armc1,G2/M,Macosko,M,
Asxl1,G2/M,Macosko,M,
Atl2,G2/M,Macosko,M,
Aurkb,G2/M,Macosko,M,
Bclaf1,G2/M,Macosko,M,
Bora,G2/M,Macosko,M,
Brd8,G2/M,Macosko,M,
Bub3,G2/M,Macosko,M,
1700066M21Rik,G2/M,Macosko,M,C2orf69
Tedc1,G2/M,Macosko,M,C14orf80
Casp3,G2/M,Macosko,M,
Cbx5,G2/M,Macosko,M,
Ccdc107,G2/M,Macosko,M,
Ccna2,G2/M,Macosko,M,
Ccnf,G2/M,Macosko,M,
Cdc16,G2/M,Macosko,M,
Cdc25c,G2/M,Macosko,M,
Cdca2,G2/M,Macosko,M,
Cdca3,G2/M,Macosko,M,
Cdca8,G2/M,Macosko,M,
Cdk1,G2/M,Macosko,M,
